species;spp_list_gissi;Class;Order;K;Lm;QB;tri_trophic_level;tri_depth;tri_thermal_tolerance;tri_age_at_maturity;tri_parental_investment;tri_body_shape;tri_water_column;SwimMode;;;;
Pteroplatytrygon_violacea;pteroplatytrygon violacea;Elasmobranchii;Myliobatiformes;0.180000007;59.67374;2.4;4.36;381;24.8;5.371305;bearers_internal_live_bearers;other;pelagic_oceanic;rajiform;;;;
Rhincodon_typus;rhincodon typus;Elasmobranchii;Orectolobiformes;0.050000001;558.6284;1;3.55;1928;27.3;24.33137;bearers_internal_live_bearers;elongated_other;pelagic_oceanic;subcarangiform;;;;
Somniosus_pacificus;somniosus pacificus;Elasmobranchii;Squaliformes;0.03235;198.4;0.7;4.36;2205;2.3;37.8519258;bearers_internal_live_bearers;elongated;benthopelagic;subcarangiform;;;;
Sphyrna_lewini;sphyrna lewini;Elasmobranchii;Carcharhiniformes;0.072999999;152.1745;2.7;4.08;1000;27.2;14.31522;bearers_internal_live_bearers;elongated;pelagic_oceanic;carangiform;;;;
Sphyrna_mokarran;sphyrna mokarran;Elasmobranchii;Carcharhiniformes;0.06;264.8;0;4.32;300;27.2;18.80313;bearers_internal_live_bearers;elongated;pelagic_oceanic;carangiform;;;;
Sphyrna_zygaena;sphyrna zygaena;Elasmobranchii;Carcharhiniformes;0.07;222.1;0;4.94;200;26.5;15.8175;bearers_internal_live_bearers;elongated;pelagic_oceanic;carangiform;;;;
Taeniurops_meyeni;taeniurops meyeni;Elasmobranchii;Myliobatiformes;0.1151964;153.8;2.2;4.2;500;28;8.451600633;bearers_internal_live_bearers;other;reef_associated;rajiform;;;;
Aetobatus_narinari;aetobatus narinari;Elasmobranchii;Myliobatiformes;0.11;153.8;0;4.17;80;27.5;9.618041;bearers_internal_live_bearers;other_flattened;benthopelagic;rajiform;;;;
Aetobatus_ocellatus;aetobatus ocellatus;Elasmobranchii;Myliobatiformes;0.1695;77.9;3.5;3.62;100;28;5.403790069;bearers_internal_live_bearers;other_flattened;benthopelagic;rajiform;;;;
Alopias_pelagicus;alopias pelagicus;Elasmobranchii;Lamniformes;0.119999997;151.7591;2.8;4.5;300;26.7;8.719707;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;subcarangiform;;;;
Alopias_superciliosus;alopias superciliosus;Elasmobranchii;Lamniformes;0.072999999;128.2753;2.8;4.46;730;27.1;14.01925;bearers_internal_live_bearers;fusiform_normal_circular;pelagic_oceanic;subcarangiform;;;;
Alopias_vulpinus;alopias vulpinus;Elasmobranchii;Lamniformes;0.123999998;207.341;1.6;4.5;650;23.3;9.853462;bearers_internal_live_bearers;fusiform_normal_circular;pelagic_oceanic;subcarangiform;;;;
Carcharhinus_albimarginatus;carcharhinus albimarginatus;Elasmobranchii;Carcharhiniformes;0.100000001;141.4;1.4;4.21;800;27.1;10.36405;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_altimus;carcharhinus altimus;Elasmobranchii;Carcharhiniformes;0.100000001;141.4;1.4;4.53;810;19.9;10.36405;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_brachyurus;carcharhinus brachyurus;Elasmobranchii;Carcharhiniformes;0.037999999;175.2442;1.9;4.34;360;17.4;27.91593;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_falciformis;carcharhinus falciformis;Elasmobranchii;Carcharhiniformes;0.090999998;146.3467;1.7;4.36;4000;26.7;11.43764;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_galapagensis;carcharhinus galapagensis;Elasmobranchii;Carcharhiniformes;0.07;170.2;0;4.23;286;23.8;15.2315;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_leucas;carcharhinus leucas;Elasmobranchii;Carcharhiniformes;0.038600001;163.7556;3.1;4.31;152;27.5;27.25805;bearers_internal_live_bearers;fusiform_normal;reef_associated;carangiform;;;;
Carcharhinus_longimanus;carcharhinus longimanus;Elasmobranchii;Carcharhiniformes;0.09;182.3;0;4.16;230;26.8;11.98275;bearers_internal_live_bearers;fusiform_normal;pelagic_oceanic;carangiform;;;;
